,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Max Drawdown Duration,2723 days 00:00:00,2815 days 00:00:00,2416 days 00:00:00,2815 days 00:00:00,2815 days 00:00:00,2398 days 00:00:00,2814 days 00:00:00,2061 days 00:00:00,2300 days 00:00:00,2628 days 00:00:00,2855 days 00:00:00,2855 days 00:00:00,1843 days 00:00:00,2814 days 00:00:00,2814 days 00:00:00,2855 days 00:00:00,2855 days 00:00:00,2345 days 00:00:00,2814 days 00:00:00,3705 days 00:00:00,2855 days 00:00:00,2442 days 00:00:00,2233 days 00:00:00,2019 days 00:00:00,2814 days 00:00:00
Total Trades,248,255,249,239,237,226,227,220,215,209,204,205,198,188,187,190,192,182,173,171,174,175,165,158,155
Total Closed Trades,248,255,249,239,237,226,227,220,215,209,204,205,198,188,187,190,192,182,173,171,174,175,165,158,155
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],56.85483870967742,59.21568627450981,61.044176706827315,58.15899581589959,59.91561181434599,56.63716814159292,60.792951541850215,63.63636363636363,62.32558139534884,62.20095693779905,53.431372549019606,58.536585365853654,60.1010101010101,59.04255319148937,58.288770053475936,52.63157894736842,57.8125,59.34065934065934,57.80346820809249,57.30994152046783,53.44827586206896,58.285714285714285,58.78787878787879,58.86075949367089,58.70967741935483
Best Trade [%],3.557003748591393,2.531312060187627,12.900785585164273,3.156689734418608,2.807382448205973,3.557003748591394,2.531312060187635,2.853244898622727,3.156689734418608,2.8073824482059857,4.519494757302972,2.365321093442208,2.8532448986227337,2.3653210934421987,2.3653210934422195,1.8231744898312394,2.3653210934422115,5.0351387919758634,2.365321093442203,2.3653210934422035,2.4540343695331517,2.757863370539958,5.035138791975862,15.120532331766235,2.365321093442209
Worst Trade [%],-4.2711452717872795,-5.909956680175533,-4.4236772445731605,-5.9099566801755365,-6.268396161275,-4.27114527178729,-5.909956680175546,-4.423677244573168,-5.90995668017553,-7.409983526233955,-4.579128640989697,-7.19801800493272,-4.423677244573159,-10.045702671139853,-7.409983526233943,-4.5791286409897,-5.9099566801755286,-3.8588543723681425,-10.045702671139864,-7.409983526233943,-4.579128640989695,-3.6742169314014714,-4.507366591431369,-10.04570267113987,-7.409983526233945
Avg Winning Trade [%],0.6478940925239867,0.6573823307494217,0.7489992722421662,0.6618195653103522,0.6411686157088868,0.6845910587093809,0.655709568462518,0.6796691685733223,0.6883548190733304,0.6859639453396709,0.6970221812972296,0.6706058159271966,0.7064226128827279,0.6729752253928284,0.6672176324704874,0.6179513903814674,0.6634426368918012,0.7043391637927919,0.658395378817988,0.6516939775763072,0.6455305507541127,0.7153771123814192,0.7216453173575766,0.8312822961312958,0.6640308839225572
Avg Losing Trade [%],-0.8962968676636328,-1.0119504805485289,-0.912964430227077,-0.9819785794523954,-0.9556137667343365,-0.8655183341071395,-0.9638205770315376,-0.9679217548097443,-0.9832187369935781,-1.028751445138515,-0.8592561706502496,-0.8614155753788483,-0.9120558804975408,-0.9389422417138114,-0.982283344143616,-0.8495486049596324,-0.8591008038592878,-0.9085204311754842,-0.9879403652924924,-1.0332820938316705,-0.8255582374473652,-0.8670483221791765,-0.9165376104899453,-1.0189841922624543,-1.0816619006107981
