,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Worst Trade [%],-2.6037737802065313,-3.4362708849127883,-2.831158505824163,-3.945217363589488,-2.472047912575365,-2.603773780206536,-2.581486584471037,-2.831158505824156,-2.9226469039072804,-3.364889055093763,-2.6037737802065304,-2.581486584471037,-2.831158505824163,-2.9226469039072906,-3.364889055093757,-3.861111273544784,-2.581486584471037,-2.831158505824163,-2.5522162503533945,-3.364889055093757,-3.861111273544781,-2.581486584471037,-2.831158505824163,-2.5522162503533945,-3.364889055093757
Avg Winning Trade [%],0.509860443499592,0.7794420686777008,0.7754983102773102,0.8489438570448028,0.8910835094406875,0.5470404543204199,0.6981283874983747,0.8251304405358271,0.9313884936436315,0.9416707730227611,0.9583431589325656,1.1010328866969585,0.9689630542711204,1.0655522352373232,1.0788846719940726,0.9996492431889477,1.0726732560865493,0.9024563819176781,1.024536067172317,1.0102849662841649,1.0277772474276055,1.031247982170636,0.9702921951884763,0.990549097859841,1.0114989503921203
Avg Losing Trade [%],-0.6501984091972678,-0.7674139918008263,-0.7164251943594231,-0.7935520563030294,-0.7537732377142847,-0.6474083873310826,-0.6871384960279596,-0.7494011319039312,-0.796990668374855,-0.8572187828446394,-0.631480895617234,-0.7469399397293517,-0.7813466817507606,-0.8216274527255096,-0.8645499087558132,-0.7211818727163812,-0.6622146443585034,-0.6809752359580663,-0.742682764678829,-0.7729311571407587,-0.7666224395679343,-0.689122860797099,-0.6960646712149487,-0.845556196122242,-0.8832598037128249
Avg Winning Trade Duration,3 days 10:02:47.441860465,6 days 00:33:29.302325581,5 days 12:14:41.632653061,4 days 09:21:57.073170731,4 days 23:28:41.739130434,3 days 08:25:56.756756756,6 days 11:20:00,5 days 17:33:39.512195121,4 days 09:52:56.470588235,5 days 00:38:55.135135135,3 days 08:48:00,6 days 13:05:27.272727272,6 days 19:45:52.941176470,5 days 11:36:46.451612903,4 days 10:30:00,3 days 16:17:08.571428571,6 days 18:34:50.322580645,6 days 20:28:14.117647058,5 days 15:12:00,4 days 10:24:00,3 days 16:53:20,6 days 16:00:00,6 days 10:35:17.647058823,5 days 15:29:01.935483871,4 days 17:36:00
Avg Losing Trade Duration,6 days 05:52:00,6 days 16:11:09.767441860,6 days 03:04:36.923076923,8 days 03:00:00,8 days 21:56:34.285714285,6 days 12:00:00,7 days 03:14:35.675675675,6 days 05:49:05.454545454,8 days 14:40:00,9 days 03:45:00,7 days 04:00:00,5 days 18:51:25.714285714,6 days 07:23:04.615384615,7 days 10:40:00,8 days 09:13:50.769230769,8 days 23:06:40,5 days 21:07:12,5 days 22:57:23.478260869,7 days 12:00:00,8 days 10:00:00,9 days 08:38:24,5 days 19:12:00,5 days 22:51:25.714285714,7 days 14:24:00,8 days 13:12:00
Profit Factor,0.7364368609641353,0.9968554070551039,1.3414383756219066,1.0710679501066822,1.554236221355454,0.8119339251527709,0.9767634901900637,1.3482442537324622,1.0774997092385545,1.2539067956453258,1.4916918006114495,1.705840681869134,1.6036734242959878,1.4715186722561195,1.5299503432516621,1.4076404264737548,1.9707232957942054,1.9498474820591147,1.7144153430340612,1.6253992062199172,1.415894716007983,2.4356657564604633,2.265449803381371,1.8091207454730347,1.7144733972707875
Expectancy,-0.08927960480092156,-0.001234847890037749,0.10906132785228134,0.016814638394520076,0.16963942314560304,-0.06763221381210655,-0.008233952043724846,0.11601910300932988,0.030033827720271522,0.09693914972350476,0.14128289332767435,0.25333156074213153,0.20548344223149423,0.17788083809501987,0.2000609636181977,0.12671234064907516,0.30383272753294377,0.2652880886143599,0.23525840898346168,0.21061746306010853,0.15163442372273112,0.4010491501739064,0.34602088653943036,0.26881538089442625,0.24823644328221506
Sharpe Ratio,-0.3391075037685024,0.01801328057743143,0.29450908193101877,0.09072958776615501,0.41900869714822214,-0.2112895721576562,-0.003731470197192065,0.2726160986000672,0.09057778150758261,0.21734521034634893,0.29668057237739875,0.4511915955657018,0.37705558425697505,0.31532601818449524,0.3579075590944617,0.25382285011694034,0.4974514599446878,0.45712483222826894,0.3823593085089583,0.3567618566342716,0.256519578878773,0.6061380529278211,0.562635540412459,0.41079967739603807,0.3873973861336481
Calmar Ratio,-0.1482026290761709,-0.002523165863319938,0.2553152289822166,0.029675675178991386,0.3727046079593472,-0.10830338082507394,-0.011611734925621361,0.20356503169054516,0.030244938593149823,0.10773444443190293,0.22258646766310491,0.3767031258824108,0.3811523954834731,0.19500412978028342,0.26884099569743086,0.1355700414351286,0.48149030130632775,0.4771132320287203,0.2912643787863787,0.263734302295094,0.13691684415477468,0.5925414920752706,0.5921041382710966,0.3342167695964671,0.3061289255715725
Omega Ratio,0.9014800101144566,1.0049253406828598,1.1316892713365334,1.0378067952239431,1.1807104242036695,0.9320923917363674,0.998927871246366,1.1366121629605577,1.0413965465325743,1.1002379460025,1.1819741345237367,1.2492634892009604,1.2073625252633668,1.170959384456902,1.2069548927796263,1.1458300227575724,1.2927479436016607,1.272041324325224,1.2217570036960468,1.2191340803011153,1.1513100383761024,1.3847736882629922,1.368008712336144,1.2537407033968244,1.2547836561737313
Sortino Ratio,-0.47033549493115806,0.026378534304995833,0.6710623867103613,0.19197241614935834,0.9476286764561479,-0.293841787157805,-0.005407921242706323,0.6375766779261911,0.195669040683746,0.4847257370668374,0.7301288016017637,1.088066997849541,0.9178277070174805,0.7077937121811005,0.8653233021698649,0.592672816404938,1.2446752638002438,1.1642231574955777,0.8878177529786101,0.8930727100898571,0.6007581825953175,1.5533653851208016,1.4800007864896254,0.9651525694074989,0.9875477518124074
