,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Max Drawdown Duration,1441 days 00:00:00,1477 days 00:00:00,1477 days 00:00:00,1450 days 00:00:00,1424 days 00:00:00,1151 days 00:00:00,1263 days 00:00:00,1265 days 00:00:00,1261 days 00:00:00,1424 days 00:00:00,1172 days 00:00:00,1265 days 00:00:00,1274 days 00:00:00,1261 days 00:00:00,1474 days 00:00:00,1181 days 00:00:00,1275 days 00:00:00,1275 days 00:00:00,1474 days 00:00:00,1474 days 00:00:00,1172 days 00:00:00,1265 days 00:00:00,1263 days 00:00:00,1439 days 00:00:00,1441 days 00:00:00
Total Trades,27,23,23,24,22,22,19,18,19,19,18,18,18,18,18,17,17,17,17,17,15,15,15,15,15
Total Closed Trades,27,23,23,24,22,22,19,18,19,19,18,18,18,18,18,17,17,17,17,17,15,15,15,15,15
Total Open Trades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Win Rate [%],70.37037037037037,69.56521739130434,56.52173913043478,62.5,50.0,72.72727272727273,73.68421052631578,61.111111111111114,63.1578947368421,47.368421052631575,77.77777777777779,72.22222222222221,61.111111111111114,61.111111111111114,44.44444444444444,76.47058823529412,70.58823529411765,64.70588235294117,58.82352941176471,41.17647058823529,80.0,80.0,73.33333333333333,66.66666666666666,46.666666666666664
Best Trade [%],2.170782398742625,2.054941279266826,2.036800698748291,1.9656552977047552,2.741055959030912,2.1707823987426313,1.2056471101858934,1.5351949079463885,1.6679009400060592,1.6846665417073068,2.170782398742622,1.952869542303734,1.5351949079463918,1.66790094000605,1.6846665417073157,2.6288118473007103,1.9528695423037412,2.0714010234491766,2.1120184321025857,1.802492674741847,2.6288118473007196,1.9528695423037326,2.071401023449174,2.1120184321025754,1.8024926747418317
Worst Trade [%],-1.7185172035915464,-1.0723876741467393,-1.424370857846348,-1.8410841830165294,-1.345102203110802,-1.7185172035915373,-0.9477197698586676,-1.4243708578463445,-1.841084183016526,-1.2250656680362397,-0.9478254536428308,-0.9477197698586676,-1.4243708578463445,-1.841084183016526,-1.2250656680362397,-0.9478254536428308,-0.9477197698586636,-1.4243708578463534,-1.8410841830165237,-1.2250656680362346,-0.9478254536428308,-0.874462660920138,-0.6851380423496016,-1.3213909585384467,-0.8046579320744158
Avg Winning Trade [%],0.7063611385537986,0.5711366930391982,0.6982029907167392,0.7988180841573949,1.0949463319866837,0.6946439440771289,0.5455697189200531,0.6179420763871115,0.8002555664907436,0.9077850109202553,0.6922289743259248,0.5808894965630053,0.5896940033101251,0.7241281438704747,0.8478011674524232,0.8597367939856606,0.6222529271402326,0.7547340305921072,0.9155563564471237,1.1036366718255561,0.9188377273590919,0.6222529271402263,0.7547340305921044,0.915556356447122,1.1036366718255526
Avg Losing Trade [%],-0.7807654212479778,-0.6785477694473506,-0.640219219355515,-0.7553915525904388,-0.4627571976068123,-0.8198265589247404,-0.6113537850748323,-0.6121186015901456,-0.7640380040962724,-0.3745226970564132,-0.7446194589206263,-0.6113537850748323,-0.5489280527890799,-0.7640380040962712,-0.3745226970564139,-0.7446194589206263,-0.6113537850748314,-0.5841480184145826,-0.7640380040962695,-0.3745226970564126,-0.7625803535422524,-0.6901714296747042,-0.5104955965374348,-0.6670476054801204,-0.3102033045045641
Avg Winning Trade Duration,3 days 22:44:12.631578947,9 days 16:30:00,6 days 00:00:00,6 days 17:36:00,12 days 10:54:32.727272727,3 days 22:30:00,12 days 15:25:42.857142857,6 days 00:00:00,6 days 16:00:00,7 days 10:40:00,3 days 22:17:08.571428571,4 days 20:18:27.692307692,5 days 17:27:16.363636363,6 days 15:16:21.818181818,7 days 09:00:00,3 days 22:09:13.846153846,4 days 20:00:00,5 days 17:27:16.363636363,6 days 14:24:00,7 days 06:51:25.714285714,3 days 22:00:00,4 days 20:00:00,5 days 17:27:16.363636363,6 days 14:24:00,7 days 06:51:25.714285714
Avg Losing Trade Duration,4 days 00:00:00,5 days 00:00:00,7 days 19:12:00,7 days 00:00:00,8 days 00:00:00,4 days 00:00:00,5 days 00:00:00,8 days 13:42:51.428571428,7 days 00:00:00,8 days 00:00:00,4 days 00:00:00,5 days 00:00:00,6 days 00:00:00,7 days 00:00:00,8 days 00:00:00,4 days 00:00:00,5 days 00:00:00,6 days 00:00:00,7 days 00:00:00,8 days 00:00:00,4 days 00:00:00,5 days 00:00:00,6 days 00:00:00,7 days 00:00:00,8 days 00:00:00
Profit Factor,2.1422147165660546,1.9364344031604972,1.4127781584809596,1.7604943068249672,2.390993375667127,2.238140691639841,2.5174966361930653,1.5782922996539739,1.7844952672988317,2.1849324079625,3.2975312855506282,2.4847959048153334,1.6825945284193142,1.476814544124115,1.806803681961696,3.8210935269355,2.456794434505762,2.378686773680257,1.6994013399532328,2.0633757655733054,4.917227132853827,3.642968169753195,4.104739075096643,2.719640848147842,3.121164661081569
