,"(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(6, 3)","(6, 4)","(6, 5)","(6, 6)","(6, 7)","(7, 3)","(7, 4)","(7, 5)","(7, 6)","(7, 7)"
Avg Winning Trade [%],0.7608672602854163,0.7481798088795104,0.7387560879251893,0.7802642558428673,0.8081583723393114,0.7736956748182654,0.771189670219106,0.7521429470577655,0.7977503904317723,0.8249564099434028,0.7883536173832577,0.8051659583240892,0.7665631189289807,0.8420121230645737,0.8446836665028172,0.7641885586201558,0.7910207897856834,0.753315058256242,0.8376215582985751,0.8532823334343101,0.7734080851480212,0.7995482172632705,0.7628377940626557,0.8505475795096796,0.8616305117589974
Avg Losing Trade [%],-1.1242461748579502,-1.0252718133130994,-1.1217496795625421,-1.0941729137581317,-0.9740178780472708,-1.1383388317498653,-1.0693274209051737,-1.183959990073244,-1.064337790382655,-0.9380539523438305,-1.1948333431925982,-1.0443459694814237,-1.1133712534069937,-1.0857382215298015,-0.9640371988161502,-1.1163602269730164,-1.0213732511968852,-1.1261193058298138,-1.093703916549898,-0.9537477404292048,-1.1454287195250084,-1.0882595002333981,-1.2171320758295845,-1.1760587116296923,-1.0205518492733634
Avg Winning Trade Duration,2 days 13:22:37.377049180,2 days 20:21:49.090909090,3 days 02:35:04.615384615,3 days 09:40:38.709677419,3 days 12:45:00,2 days 15:41:32.307692307,2 days 21:22:54.545454545,3 days 05:14:10.909090909,3 days 12:53:20,3 days 17:01:05.454545454,2 days 16:48:00,2 days 21:41:32.307692307,3 days 07:25:05.454545454,3 days 12:00:00,3 days 19:01:07.924528301,2 days 17:27:16.363636363,2 days 22:26:05.217391304,3 days 08:19:35.510204081,3 days 12:31:18.260869565,3 days 19:24:15.319148936,2 days 18:17:08.571428571,2 days 22:54:32.727272727,3 days 08:40:51.063829787,3 days 12:32:43.636363636,3 days 19:12:00
Avg Losing Trade Duration,4 days 22:30:00,4 days 16:48:00,5 days 23:12:00,7 days 00:00:00,6 days 04:00:00,4 days 14:24:00,4 days 16:33:06.206896551,6 days 00:00:00,5 days 22:17:08.571428571,6 days 03:25:42.857142857,4 days 18:00:00,4 days 10:33:36,4 days 20:43:38.181818181,6 days 03:07:49.565217391,5 days 16:41:44.347826087,4 days 03:16:21.818181818,4 days 06:32:43.636363636,4 days 15:09:28.421052631,6 days 02:24:00,5 days 14:24:00,4 days 04:48:00,4 days 07:12:00,4 days 16:56:28.235294117,6 days 08:00:00,5 days 18:40:00
Profit Factor,1.2682717543146078,1.5609595097091966,1.3837711826557377,1.4402767258396358,1.735527510223246,1.164162280567683,1.3391926486365033,1.2183020088640917,1.41660316798881,1.6943863721602663,1.360686521055842,1.5682520335896202,1.6898151251430993,1.7260532352316535,1.9816441084978536,1.3525849618495969,1.5784533558287697,1.6893910989600123,1.728874922522753,2.054912566233472,1.3973890136142868,1.5718536157193637,1.6923270369000836,1.730151652594616,2.055017974652724
Expectancy,0.11115512862005494,0.20567650462547304,0.15391674733292915,0.1743242499499495,0.2598955444919979,0.06922538913751614,0.13586185311055393,0.09390652968984936,0.16481942349597944,0.24554720399805963,0.14539169633159232,0.2132456260813354,0.24273776953103432,0.26669780232808576,0.3250468613881018,0.1361797106388049,0.21124890978659217,0.2386535619092972,0.26524790294517403,0.3407047847177462,0.15427809164116046,0.2156476642494951,0.24729077298824365,0.274913161930954,0.3503318396856693
Sharpe Ratio,0.3799732065440569,0.6699514857428935,0.46302693315961096,0.5237584370420305,0.7496692517951812,0.23361655198047865,0.420502474520337,0.27188052785075917,0.46629439970389097,0.6552124302109971,0.4283756837995321,0.6063845117308571,0.6619489455500158,0.6805543593075715,0.8149790254466996,0.38550586680693033,0.5646981001958651,0.6117587146288034,0.6317491999160689,0.795470755475449,0.4127145663316393,0.5529387986742738,0.6067568577390365,0.6250673112562432,0.782702679709214
Calmar Ratio,0.2552718619314864,0.38021804215176974,0.21467770028591981,0.30607645594633276,0.46894571794198975,0.12706131120551165,0.22662182807298772,0.11744507655033795,0.2603570476698206,0.39682560554693647,0.2772252291485322,0.37905626581815366,0.44317411955949987,0.4802913388729025,0.5626531592686872,0.23995922335246514,0.33414232755832723,0.3882534074387856,0.42416055233859706,0.5233313150230388,0.2548059076107357,0.32171015880241827,0.3791995535096117,0.4136684240109668,0.5073405630586034
Omega Ratio,1.1530522756027328,1.2806402856769454,1.1767031457261996,1.186062969785576,1.2825954169976634,1.0970722499032166,1.1777504869506623,1.1058193345019782,1.179118939379749,1.2547950246681903,1.199492064311678,1.2904868738626438,1.3055228961358198,1.2931944441665044,1.3592112018161906,1.1966456425575895,1.2932978782593616,1.3053134394456665,1.2914280726484122,1.3799796992725004,1.2186569690318514,1.2968436245705428,1.3131353467979512,1.2968707320447321,1.385437778958704
Sortino Ratio,0.5285001858375288,0.9896272753597624,0.6515430239277634,0.7660797232485483,1.126484995544121,0.32460419687782804,0.6076120242635603,0.37717506215123303,0.6803319660584475,0.9798008123138091,0.6001701979026683,0.8871964085132726,0.9841896615784925,1.011758073432117,1.232828080747427,0.5464496200839106,0.8352326210075439,0.9201264224961841,0.9492872135432632,1.220407144275232,0.5917267004192063,0.8242664997486244,0.9201532708863123,0.9463765982975008,1.2107522321593343
