,low_pd,rsi_pd,rsi_threshold,max_dim,Days in Market,In-market pct,# Rnd Trips,Win Rate,Result
531,6,5,40,4,289,7.924321360021936,149,0.03701672607622704,1008.5932936986966
532,6,5,40,5,316,8.664655881546476,142,0.03564573622155196,993.218082526241
533,6,5,40,6,329,9.021113243761997,139,0.03400054839594187,1004.1795872847212
534,6,5,40,7,353,9.679188374006033,136,0.03180696462846175,994.4949076964
535,6,5,50,3,349,9.569509185632027,147,0.03701672607622704,991.0265047469699
536,6,5,50,4,401,10.995338634494106,138,0.03509734027968193,992.305949218646
537,6,5,50,5,455,12.476007677543187,130,0.03262955854126679,983.2167788287024
538,6,5,50,6,489,13.408280778722238,125,0.03153276665752673,985.5360463383647
539,6,5,50,7,530,14.5324924595558,121,0.02604880723882643,975.485779549767
540,6,5,60,3,408,11.187277214148615,145,0.035371538250616945,973.6879397388919
541,6,5,60,4,485,13.298601590348232,131,0.03290375651220181,967.6060539692971
542,6,5,60,5,558,15.300246778173841,123,0.029339182890046615,956.5059701857801
543,6,5,60,6,602,16.50671785028791,114,0.028790786948176585,955.1416723886203
544,6,5,60,7,672,18.426103646833013,113,0.023581025500411298,943.3080499795817
545,6,5,70,3,421,11.543734576364136,143,0.03482314230874692,967.8738111282887
546,6,5,70,4,509,13.956676720592268,131,0.03290375651220181,964.4519266733034
547,6,5,70,5,595,16.314779270633398,123,0.027693995064436525,954.9559201051236
548,6,5,70,6,645,17.68576912530847,113,0.028242391006306555,953.0884229335855
549,6,5,70,7,739,20.263230052097615,112,0.02221003564573622,937.3849421106486
550,6,6,30,3,170,4.661365505895256,173,0.041678091582122295,1013.3933396117375
551,6,6,30,4,184,5.045242665204277,170,0.03948450781464217,1014.8285759421495
552,6,6,30,5,206,5.648478201261311,165,0.03783931998903208,1006.7255886476881
553,6,6,30,6,215,5.895256375102824,162,0.03838771593090211,1010.3739048770393
554,6,6,30,7,224,6.142034548944338,159,0.036468330134357005,1003.5770809262405
555,6,6,40,3,248,6.800109679188374,159,0.039758705785577185,1006.1110550467961
556,6,6,40,4,283,7.759802577460927,151,0.0381135179599671,1004.2987632726026
557,6,6,40,5,313,8.582396490265973,146,0.03701672607622704,1000.1012074640674
558,6,6,40,6,325,8.911434055387991,143,0.034274746366876885,1006.980359572517
559,6,6,40,7,349,9.569509185632027,140,0.03262955854126679,988.865936945594
560,6,6,50,3,361,9.898546750754045,147,0.036468330134357005,986.4598797041857
561,6,6,50,4,418,11.46147518508363,136,0.0345489443378119,982.2641981841225
562,6,6,50,5,470,12.887304633945709,128,0.030984370715656705,977.9907549089735
563,6,6,50,6,514,14.093775706059775,122,0.03180696462846175,973.3441896464934
564,6,6,50,7,563,15.43734576364135,119,0.026323005209761448,962.2812102151668
565,6,6,60,3,415,11.379215793803127,144,0.03482314230874692,969.9516012111094
566,6,6,60,4,497,13.62763915547025,131,0.03290375651220181,967.2309381867195
567,6,6,60,5,577,15.821222922950371,123,0.028516588977241568,957.3841436596845
568,6,6,60,6,626,17.164792980531946,114,0.028242391006306555,958.0607402957015
569,6,6,60,7,709,19.440636139292568,113,0.023032629558541268,944.1417686990965
570,6,6,70,3,424,11.62599396764464,143,0.03509734027968193,967.0356318350042
571,6,6,70,4,515,14.121195503153277,131,0.03290375651220181,962.5075436236306
572,6,6,70,5,599,16.424458459007404,123,0.027693995064436525,956.1646479626583
573,6,6,70,6,652,17.877707704962983,113,0.028242391006306555,949.8798680093818
574,6,6,70,7,740,20.290649849191116,111,0.022484233616671238,932.7934799316223
575,6,7,30,3,153,4.195228955305731,177,0.040581299698382235,1011.071388564187
576,6,7,30,4,165,4.524266520427749,174,0.03948450781464217,1012.9800204760969
577,6,7,30,5,183,5.017822868110776,170,0.038661913901837125,1011.2775268876272
578,6,7,30,6,190,5.2097614477652865,167,0.03783931998903208,1010.2916200707573
579,6,7,30,7,196,5.3742802303262955,166,0.03591993419248698,1006.1767615835291
580,6,7,40,3,246,6.745270085001371,160,0.04030710172744722,1008.3614804828885
581,6,7,40,4,285,7.81464217164793,152,0.0381135179599671,1006.1975974597098
582,6,7,40,5,313,8.582396490265973,147,0.03701672607622704,1003.0622877949262
583,6,7,40,6,328,8.993693446668495,144,0.03400054839594187,1007.7318814163056
584,6,7,40,7,356,9.761447765286537,140,0.03262955854126679,989.113949624071
585,6,7,50,3,367,10.063065533315054,148,0.03564573622155196,990.4895705520411
586,6,7,50,4,427,11.708253358925145,136,0.03400054839594187,984.6092613213232
