Date,Close,Open,High,Low,Vol.,Change %
4/7/11,1.4304,1.4335,1.4346,1.4243,,-0.20%
4/6/11,1.4333,1.4217,1.4351,1.4209,,0.77%
4/5/11,1.4223,1.422,1.4248,1.4152,,0.01%
4/4/11,1.4222,1.4226,1.4272,1.4194,,-0.06%
4/1/11,1.4231,1.4174,1.4248,1.4062,,0.45%
3/31/11,1.4167,1.4129,1.4234,1.4114,,0.28%
3/30/11,1.4127,1.4112,1.4148,1.4051,,0.11%
3/29/11,1.4111,1.4081,1.4151,1.4047,,0.18%
3/28/11,1.4085,1.4046,1.4116,1.402,,0.01%
3/25/11,1.4084,1.4171,1.4196,1.4055,,-0.64%
3/24/11,1.4175,1.4091,1.4223,1.4051,,0.65%
3/23/11,1.4083,1.4198,1.4217,1.4078,,-0.84%
3/22/11,1.4202,1.4219,1.4249,1.4173,,-0.18%
3/21/11,1.4227,1.4182,1.4241,1.4138,,0.34%
3/18/11,1.4179,1.4017,1.4187,1.3981,,1.12%
3/17/11,1.4022,1.3906,1.4053,1.3869,,0.86%
3/16/11,1.3903,1.3998,1.4002,1.3865,,-0.66%
3/15/11,1.3996,1.3986,1.4013,1.3853,,0.04%
3/14/11,1.399,1.3962,1.4003,1.3902,,0.58%
3/11/11,1.391,1.3798,1.3916,1.3752,,0.84%
3/10/11,1.3794,1.3906,1.3927,1.3775,,-0.82%
3/9/11,1.3908,1.3904,1.3943,1.3854,,0.03%
3/8/11,1.3904,1.3972,1.3994,1.3861,,-0.49%
3/7/11,1.3973,1.3996,1.4038,1.3952,,-0.09%
3/4/11,1.3985,1.3968,1.4009,1.3939,,0.14%
3/3/11,1.3966,1.3868,1.3974,1.3833,,0.74%
3/2/11,1.3864,1.3775,1.3889,1.3742,,0.64%
3/1/11,1.3776,1.3803,1.3855,1.3762,,-0.19%
2/28/11,1.3802,1.3757,1.3856,1.371,,0.37%
2/25/11,1.3751,1.3797,1.3838,1.3722,,-0.38%
2/24/11,1.3804,1.3747,1.3821,1.3702,,0.41%
2/23/11,1.3747,1.3659,1.3788,1.3646,,0.68%
2/22/11,1.3654,1.3677,1.3704,1.3525,,-0.17%
2/21/11,1.3677,1.3703,1.3719,1.3646,,-0.15%
2/18/11,1.3697,1.3609,1.3718,1.3548,,0.70%
2/17/11,1.3602,1.3568,1.362,1.3534,,0.25%
2/16/11,1.3568,1.3488,1.3591,1.3461,,0.58%
2/15/11,1.349,1.3488,1.3553,1.3459,,0.03%
2/14/11,1.3486,1.351,1.3562,1.3429,,-0.46%
2/11/11,1.3549,1.3599,1.3624,1.3498,,-0.34%
2/10/11,1.3595,1.3729,1.3737,1.3577,,-0.99%
2/9/11,1.3731,1.3625,1.3745,1.3607,,0.71%
2/8/11,1.3634,1.3582,1.369,1.3571,,0.34%
2/7/11,1.3588,1.3563,1.3628,1.3508,,0.01%
2/4/11,1.3586,1.3639,1.3679,1.3542,,-0.34%
2/3/11,1.3632,1.3813,1.3828,1.3611,,-1.25%
2/2/11,1.3805,1.383,1.3863,1.3767,,-0.21%
2/1/11,1.3834,1.3685,1.3845,1.3685,,1.08%
1/31/11,1.3686,1.3599,1.374,1.3568,,0.54%
1/28/11,1.3613,1.3733,1.3746,1.358,,-0.83%
1/27/11,1.3727,1.371,1.376,1.3636,,0.21%
1/26/11,1.3698,1.3686,1.3722,1.3642,,0.06%
1/25/11,1.369,1.3638,1.3704,1.3571,,0.34%
1/24/11,1.3643,1.3638,1.3687,1.3537,,0.18%
1/21/11,1.3618,1.3475,1.3629,1.3448,,1.04%
1/20/11,1.3478,1.3476,1.3524,1.3395,,0.07%
1/19/11,1.3469,1.3389,1.3541,1.3369,,0.66%
1/18/11,1.3381,1.3292,1.3467,1.3252,,0.65%
1/17/11,1.3294,1.3383,1.3389,1.3245,,-0.62%
1/14/11,1.3377,1.3363,1.3458,1.3313,,0.17%
1/13/11,1.3354,1.3129,1.3384,1.3087,,1.65%
1/12/11,1.3137,1.2972,1.3146,1.2961,,1.23%
1/11/11,1.2978,1.295,1.2995,1.2905,,0.26%
1/10/11,1.2944,1.2883,1.2967,1.2874,,0.19%
1/7/11,1.2919,1.3005,1.3023,1.2906,,-0.63%
1/6/11,1.3001,1.3146,1.3171,1.2995,,-1.15%
1/5/11,1.3152,1.3304,1.3325,1.3123,,-1.14%
1/4/11,1.3304,1.3358,1.3436,1.3291,,-0.37%
1/3/11,1.3354,1.3348,1.3397,1.3251,,-0.19%
12/31/10,1.3379,1.329,1.3427,1.3283,,0.72%
12/30/10,1.3283,1.3225,1.3316,1.3212,,0.45%
12/29/10,1.3224,1.3116,1.3239,1.3082,,0.79%
12/28/10,1.312,1.3166,1.3277,1.3094,,-0.31%
12/27/10,1.3161,1.3115,1.3171,1.3072,,0.33%
12/24/10,1.3118,1.3117,1.3151,1.3095,,-0.02%
12/23/10,1.312,1.3096,1.3154,1.3054,,0.15%
12/22/10,1.31,1.3095,1.3182,1.3076,,0.03%
12/21/10,1.3096,1.3127,1.3203,1.3072,,-0.19%
12/20/10,1.3121,1.3182,1.319,1.3095,,-0.46%
12/17/10,1.3182,1.3239,1.3361,1.3133,,-0.43%
12/16/10,1.3239,1.3213,1.3268,1.318,,0.20%
12/15/10,1.3213,1.3383,1.3384,1.3209,,-1.28%
12/14/10,1.3384,1.3388,1.3498,1.3361,,-0.05%
12/13/10,1.3391,1.3207,1.3435,1.3182,,1.19%
12/10/10,1.3234,1.3237,1.3283,1.3178,,-0.08%
12/9/10,1.3245,1.3264,1.3325,1.3165,,-0.11%
12/8/10,1.3259,1.3263,1.3283,1.318,,-0.04%
12/7/10,1.3264,1.3304,1.3401,1.326,,-0.32%
12/6/10,1.3306,1.3382,1.3422,1.3243,,-0.81%
12/3/10,1.3415,1.3222,1.3418,1.3192,,1.42%
12/2/10,1.3227,1.3137,1.325,1.3059,,0.64%
12/1/10,1.3143,1.2985,1.3181,1.297,,1.26%
11/30/10,1.298,1.3124,1.3152,1.2967,,-1.07%
11/29/10,1.3121,1.3287,1.3304,1.3064,,-0.92%
11/26/10,1.3243,1.3355,1.3368,1.3199,,-0.90%
11/25/10,1.3363,1.3333,1.3388,1.3287,,0.23%
