,low_pd,rsi_pd,rsi_threshold,max_dim,Days in Market,In-market pct,# Rnd Trips,Win Rate,Result
408,5,6,40,6,594,13.037752414398595,267,0.05553116769095698,1765.7701203379434
409,5,6,40,7,618,13.56453028972783,261,0.055970149253731345,1596.725120049627
410,5,6,50,3,601,13.191395961369622,263,0.05179982440737489,1178.7537833059623
411,5,6,50,4,716,15.715539947322213,252,0.0528972783143108,1572.796584176423
412,5,6,50,5,819,17.976294995610186,249,0.05070237050043898,1609.030151393379
413,5,6,50,6,896,19.666374012291485,245,0.05179982440737489,1765.5240460223858
414,5,6,50,7,944,20.719929762949956,238,0.0504828797190518,1680.1084107278236
415,5,6,60,3,715,15.693590869183494,257,0.05201931518876207,1137.9028662180583
416,5,6,60,4,869,19.073748902546093,242,0.05311676909569798,1255.5112569617852
417,5,6,60,5,1028,22.563652326602284,237,0.048287971905179985,1327.177725484881
418,5,6,60,6,1151,25.26338893766462,229,0.05026338893766462,1483.0725416843702
419,5,6,60,7,1246,27.348551360842844,220,0.046093064091308165,1461.78554863856
420,5,6,70,3,752,16.505706760316066,255,0.05223880597014925,1088.0260493541416
421,5,6,70,4,935,20.52238805970149,239,0.05179982440737489,1274.3957443204968
422,5,6,70,5,1118,24.53906935908692,232,0.04982440737489025,1333.9810685654252
423,5,6,70,6,1267,27.809482001755928,222,0.048946444249341525,1339.2978957617486
424,5,6,70,7,1390,30.509218612818263,212,0.04455662862159789,1368.929222952967
425,5,7,30,3,201,4.411764705882353,314,0.06189640035118525,1568.8122335383237
426,5,7,30,4,221,4.850746268656716,311,0.061237928007023705,1520.2906083184355
427,5,7,30,5,228,5.004389815627744,307,0.06079894644424934,1521.8857503408512
428,5,7,30,6,241,5.28972783143108,305,0.06057945566286216,1523.3232039573008
429,5,7,30,7,252,5.53116769095698,303,0.061457418788410885,1417.351370014493
430,5,7,40,3,419,9.196663740122915,283,0.058604038630377525,1457.3572014710007
431,5,7,40,4,483,10.601404741000877,276,0.05750658472344162,1597.5594332222236
432,5,7,40,5,527,11.567164179104477,272,0.05662862159789289,1676.07500368213
433,5,7,40,6,560,12.291483757682178,269,0.056189640035118525,1746.6456974980072
434,5,7,40,7,579,12.708516242317822,262,0.05575065847234416,1529.7091876754134
435,5,7,50,3,604,13.257243195785778,264,0.05245829675153644,1222.0748837089654
436,5,7,50,4,720,15.803336259877085,252,0.053555750658472345,1553.3045013459932
437,5,7,50,5,826,18.12993854258121,248,0.051141352063213345,1478.0010142084607
438,5,7,50,6,910,19.97366110623354,244,0.051360842844600525,1667.7867557513057
439,5,7,50,7,967,21.224758560140476,237,0.0504828797190518,1649.707128141721
440,5,7,60,3,718,15.75943810359965,256,0.05201931518876207,1126.7135971269415
441,5,7,60,4,881,19.337137840210712,241,0.05311676909569798,1259.0735270204937
442,5,7,60,5,1045,22.936786654960493,236,0.048726953467954345,1353.2926796032302
443,5,7,60,6,1176,25.81211589113257,228,0.05004389815627744,1496.9665711393175
444,5,7,60,7,1276,28.00702370500439,219,0.0456540825285338,1470.7185555566903
445,5,7,70,3,751,16.483757682177348,253,0.051580333625987705,1010.0027055489227
446,5,7,70,4,938,20.58823529411765,238,0.051360842844600525,1292.5404039624352
447,5,7,70,5,1127,24.73661106233538,231,0.048946444249341525,1347.2210168534139
448,5,7,70,6,1276,28.00702370500439,220,0.04784899034240562,1288.2120036592385
